start_time:11460, end_time:15060, text: 谢志东在老人院被人杀了，袁胜华是老人院的护理长。
start_time:17300, end_time:18220, text: 谢志忠是谁？
start_time:18820, end_time:21260, text: 你们体活老师啊，连他你也忘了？
start_time:42480, end_time:43080, text: 哎，回来了。
start_time:43280, end_time:43520, text: 嗯。
start_time:47010, end_time:48250, text: 华谊那边有消息吗？
start_time:49540, end_time:54220, text: 验尸后发现，谢志忠体内有高浓度的安眠药，凶手趁他熟睡时掐死他的。
start_time:54660, end_time:55380, text: 还有没有指纹？
start_time:55620, end_time:58300, text: 没有，凶手应该有戴手套。
start_time:60050, end_time:62570, text: 所以不排除新雨模范案咯。
start_time:63250, end_time:63330, text: 嗯。
start_time:64450, end_time:67730, text: 上次你在窗户发现的泥土我送验喽，就等结果了。
start_time:68130, end_time:68450, text: 嗯。
start_time:69630, end_time:70350, text: 那我下班了。
start_time:91720, end_time:99040, text: 五月二十五号凌晨一点三十七分，维林老人院命案发生第九天。
start_time:102970, end_time:104050, text: 护理长严盛华。
start_time:105700, end_time:106460, text: 还在里面。
start_time:107780, end_time:108940, text: 依旧下落不明。
start_time:111090, end_time:115170, text: 目前逐一清查发现，严胜华在工作上表现良好。
start_time:115610, end_time:116530, text: 我先去忙。
start_time:116850, end_time:120930, text: 不过严胜华个性孤僻，不太跟人互动。
start_time:121620, end_time:126300, text: 除了一个一个叫林晨曦的，说是他国中同学。
start_time:126940, end_time:128140, text: 你在找严尚华？
start_time:128780, end_time:131860, text: 不过这个女的讲了一些莫名其妙的话。
start_time:131980, end_time:133620, text: 我不记得过去发生的事情。
start_time:134470, end_time:137350, text: 我好像还虚构了一些生活中没有发生的事。
start_time:138190, end_time:140790, text: 反正目前哈，先找到严生活再说。
start_time:141270, end_time:144110, text: 相关证据还在收证，不排除有其他人涉案。
start_time:144560, end_time:157860, text: Over 对你平静那我呢？
start_time:159310, end_time:163830, text: 如果当初你有好好处理这件事情，我们家会变成这个样子吗？
start_time:164590, end_time:166030, text: 都已经过了二十年。
start_time:167010, end_time:170650, text: 你还要提起这件事情，就是这件事情毁了这个家。
start_time:186340, end_time:187220, text: 吃早餐了。
start_time:195570, end_time:196650, text: 你昨天去哪里了？
start_time:196890, end_time:197850, text: 怎么这么晚回来？
start_time:198330, end_time:199930, text: 我昨天去找高中同学。
start_time:200610, end_time:200730, text: 哦。
start_time:203260, end_time:204900, text: 爸妈，你们刚才有吵架吗？
start_time:208950, end_time:210830, text: 我跟你爸那有什么好吵的啊？
start_time:210950, end_time:211830, text: 呵，哎。
start_time:217590, end_time:218310, text: 来了，吃饭。
start_time:220220, end_time:223220, text: 林正业，起床吃饭了。
start_time:224340, end_time:225420, text: 林正业又怎么啦？
start_time:228070, end_time:231390, text: 我也不知道，没关系啦，你们先吃。
start_time:238540, end_time:242540, text: 我今天啊该回山上了，果园呢需要整理，不能放着。
start_time:243620, end_time:244660, text: 你家有果园啊？
start_time:247660, end_time:257420, text: 你爸退休之后在山上买一块地种水果，农忙时候，有时候一两个月，甚至半年都不回来。
start_time:264180, end_time:265660, text: 我不是跟你说了吗？
start_time:266020, end_time:268300, text: 这次啊，我不会去太久。
start_time:272550, end_time:275470, text: 没想到啊，你连我们家有果园你都忘记了。
start_time:276870, end_time:279430, text: 没关系，过去呢，忘了就算了。
start_time:280650, end_time:285290, text: 以前呢也没什么，反正我们家就是这个样子，一直过得平平淡淡的。
start_time:288410, end_time:290210, text: 那你们认识严胜华吗？
start_time:291680, end_time:294440, text: 就是那个休学一年，后来跟我同班的学姐啊。
start_time:295720, end_time:301000, text: 我听一个警察说，我学校理化老师谢志忠被杀了，严振华好像涉案。
start_time:301650, end_time:303010, text: 而且他还失踪了。
start_time:304610, end_time:306810, text: 谢老师的事情我们都听说了。
start_time:308400, end_time:309640, text: 警察为什么找上你？
start_time:310950, end_time:314990, text: 就是刚好遇到，所以你们对他都没印象吗？
start_time:317840, end_time:320000, text: 以前没听你说过这个人。
start_time:322080, end_time:325360, text: 办案呢就交给警察，反正又不关我们的事情。
start_time:326830, end_time:329590, text: 待会吃饱了，我就要出发去山上了。
start_time:330510, end_time:334990, text: 你好好照顾自己，有什么事情呢，立刻打电话给我，知道吗？
